,Frame,time_sec,angle_1_deg,angle_2_deg,angle_3_deg,angle_4_deg,angle_5_deg,angle_6_deg,angular_velocity_1_deg_per_s,angular_velocity_2_deg_per_s,angular_velocity_3_deg_per_s,angular_velocity_4_deg_per_s,angular_velocity_5_deg_per_s,angular_velocity_6_deg_per_s,vertex_speed_angle_1_p13_coord_per_s,vertex_speed_angle_2_p14_coord_per_s,vertex_speed_angle_3_p13_coord_per_s,vertex_speed_angle_4_p14_coord_per_s,vertex_speed_angle_5_p23_coord_per_s,vertex_speed_angle_6_p24_coord_per_s,rom_1s_angle_1_deg,rom_1s_angle_2_deg,rom_1s_angle_3_deg,rom_1s_angle_4_deg,rom_1s_angle_5_deg,rom_1s_angle_6_deg,symmetry_absdiff_angle_1_vs_2_deg,symmetry_absdiff_angle_3_vs_4_deg,symmetry_absdiff_angle_5_vs_6_deg,LDF_bloodflow
54,54,1.8,131.054798,140.729492,72.865943,121.473203,131.929642,125.213075,208.78727,-83.142889,-51.655243,-68.112511,-8.566234,282.983859,1.17384,0.123693,1.17384,0.123693,0.067082,0.067082,15.460583,21.870188,31.344477,18.615149,19.364572,25.027996,9.674694,48.60726,6.716567,44.4
57,57,1.9,133.734274,145.203452,70.896196,118.470806,135.734895,125.655042,41.003621,86.889185,-34.203915,-64.158767,182.341369,11.196148,0.192094,0.073485,0.192094,0.073485,0.03,0.03,17.501766,21.870188,33.314224,21.617546,18.831238,25.398941,11.469178,47.57461,10.079853,45.5
60,60,2.0,136.499555,143.819441,68.476529,113.445947,147.434867,127.94027,111.421429,-113.030169,-41.453493,55.163095,258.743413,331.830669,0.900999,0.15,0.900999,0.15,0.067082,0.06,16.874267,22.559311,28.074131,31.572084,28.105287,27.684169,7.319886,44.969418,19.494597,45.8
63,63,2.1,136.475872,145.840127,68.093782,112.255616,151.042728,130.181513,46.941052,89.836034,-5.309253,-37.417015,-45.279781,-71.776768,0.189737,0.03,0.189737,0.03,0.0,0.0,16.874267,19.990718,28.456879,28.187647,33.222474,32.317972,9.364255,44.161834,20.861215,46.6
66,66,2.2,137.771519,145.514298,66.575849,110.712607,152.777491,126.005939,23.548287,-1.822216,-11.856834,40.866856,-37.335782,125.016549,0.259808,0.152971,0.259808,0.152971,0.03,0.0,15.720312,17.069516,22.806772,23.603423,28.491411,16.933872,7.742778,44.136757,26.771553,84.3
69,69,2.3,138.534709,141.187008,64.300739,109.869474,157.013371,128.623822,-29.056487,-40.378788,-9.306027,-83.73034,-64.218402,19.603262,0.271662,0.27,0.271662,0.27,0.12,0.12,17.452051,17.069516,22.13027,23.603423,31.680386,16.933872,2.652299,45.568735,28.389548,80.6
72,72,2.4,138.850907,141.878149,63.29036,107.008968,158.184513,129.782489,107.615744,-54.824533,-61.756522,18.504863,83.858143,14.313461,0.123693,0.241868,0.123693,0.241868,0.042426,0.03,17.452051,17.069516,20.847205,24.456723,29.497135,16.933872,3.027242,43.718608,28.402024,66.9
75,75,2.5,137.325161,144.592011,63.546872,105.716814,138.892979,118.416744,-18.775927,51.275401,-5.183491,-32.170425,-552.972792,-374.687542,0.123693,0.12,0.123693,0.12,0.042426,0.042426,17.452051,14.262668,18.434372,23.143326,29.497135,16.933872,7.26685,42.169941,20.476235,63.1
78,78,2.6,141.776572,150.768307,60.667945,100.50938,149.553274,122.648389,45.674497,-7.858453,-25.196284,-61.578233,-45.849011,-15.291312,0.510882,0.042426,0.510882,0.042426,0.06,0.06,19.725365,14.262668,16.969079,28.35076,29.497135,16.933872,8.991735,39.841435,26.904885,55.4
81,81,2.7,140.956183,145.685135,60.290779,106.389846,165.814419,138.420412,27.518259,-125.719533,-21.591863,-24.562887,141.396955,138.193876,0.23622,0.073485,0.23622,0.073485,0.0,0.03,18.057965,14.608265,15.209133,28.35076,36.157569,22.640132,4.728951,46.099066,27.394007,52.8
