,Frame,time_sec,angle_1_deg,angle_2_deg,angle_3_deg,angle_4_deg,angle_5_deg,angle_6_deg,angular_velocity_1_deg_per_s,angular_velocity_2_deg_per_s,angular_velocity_3_deg_per_s,angular_velocity_4_deg_per_s,angular_velocity_5_deg_per_s,angular_velocity_6_deg_per_s,vertex_speed_angle_1_p13_coord_per_s,vertex_speed_angle_2_p14_coord_per_s,vertex_speed_angle_3_p13_coord_per_s,vertex_speed_angle_4_p14_coord_per_s,vertex_speed_angle_5_p23_coord_per_s,vertex_speed_angle_6_p24_coord_per_s,rom_1s_angle_1_deg,rom_1s_angle_2_deg,rom_1s_angle_3_deg,rom_1s_angle_4_deg,rom_1s_angle_5_deg,rom_1s_angle_6_deg,symmetry_absdiff_angle_1_vs_2_deg,symmetry_absdiff_angle_3_vs_4_deg,symmetry_absdiff_angle_5_vs_6_deg,LDF_bloodflow
5250,5250,175.0,139.713501,126.382611,79.235151,114.851168,139.837406,131.550987,166.202659,-109.418437,-202.512947,82.065009,-290.463607,-26.840305,1.879734,0.042426,1.879734,0.042426,0.067082,0.11225,24.68042,54.112184,53.173874,40.179753,38.583504,27.389562,13.33089,35.616017,8.286419,269.2
5253,5253,175.1,124.758159,127.372255,101.101613,108.735715,140.714824,137.390275,8.7049,-126.421152,15.233275,166.700329,61.465789,129.769905,0.537494,0.042426,0.537494,0.042426,0.051962,0.042426,34.385837,54.112184,67.719266,40.501323,39.754945,27.389562,2.614096,7.634102,3.324549,291.7
5256,5256,175.2,108.70292,120.6019,117.14035,132.42957,137.016888,137.12357,-87.606715,-36.014129,-43.82831,191.697603,-47.275456,23.546808,1.179576,0.09,1.179576,0.09,0.094868,0.123693,50.150912,54.112184,85.218946,29.250532,41.404022,27.389562,11.89898,15.28922,0.106683,273.9
5259,5259,175.3,101.576348,118.150861,114.339279,133.255358,149.333137,147.103893,181.709908,-29.147946,196.566322,-12.14473,212.476759,192.4438,0.583267,0.123693,0.583267,0.123693,0.051962,0.042426,63.334482,30.660056,85.218946,31.050126,41.404022,28.627197,16.574513,18.916079,2.229243,251.0
5262,5262,175.4,102.222624,115.949154,119.386856,135.463157,140.5908,139.165158,142.259903,-52.760962,67.637849,-1.600166,-61.672995,-32.546707,0.214243,0.03,0.214243,0.03,0.042426,0.042426,63.334482,30.660056,86.004509,32.337459,41.404022,28.627197,13.726531,16.076301,1.425642,259.0
5265,5265,175.5,101.044281,118.632304,119.508018,131.241689,149.102582,143.897275,-25.76273,75.922516,1.759341,-159.099275,203.818711,139.377358,0.067082,0.72,0.067082,0.72,0.09,0.094868,63.334482,30.660056,83.507298,33.49754,36.205704,28.627197,17.588023,11.733671,5.205308,271.3
5268,5268,175.6,104.059167,118.367319,120.643185,130.277051,146.527986,146.135539,-90.455886,-57.965184,-59.944936,62.483241,37.152613,4.299088,0.42107,0.03,0.42107,0.03,0.09,0.09,63.334482,30.660056,86.044741,33.49754,36.205704,29.635577,14.308153,9.633866,0.392446,263.5
5271,5271,175.7,104.635047,117.644804,119.274879,129.281165,150.52243,145.451496,1.358143,-106.043307,-4.07819,-86.124609,28.094628,-14.049172,0.042426,0.127279,0.042426,0.127279,0.042426,0.067082,63.334482,28.301981,81.975807,33.49754,34.271519,29.635577,13.009757,10.006286,5.070934,250.1
5274,5274,175.8,104.772137,116.792333,121.11441,131.485325,151.782909,146.041699,-19.084246,10.066827,-28.574654,24.313013,21.751545,-21.622846,0.18,0.03,0.18,0.03,0.03,0.03,63.334482,26.059267,81.843539,33.49754,20.193412,29.635577,12.020197,10.370915,5.74121,233.8
5277,5277,175.9,110.748209,117.881717,127.113013,127.136768,143.819877,145.253688,69.692592,9.958076,76.326506,11.581678,-177.346759,-47.246452,0.391152,0.03,0.391152,0.03,0.042426,0.042426,59.933978,16.545669,66.958755,33.49754,14.766021,22.611459,7.133508,0.023755,1.433811,233.6
5280,5280,176.0,112.01869,121.123629,124.762452,130.428134,140.812249,140.975795,15.068388,61.267436,-22.271409,163.137886,-155.273648,-155.130862,0.042426,0.424264,0.042426,0.424264,0.0,0.0,44.19415,16.545669,47.877862,33.49754,14.766021,16.561287,9.104939,5.665682,0.163546,248.3
5283,5283,176.1,110.338537,113.261,125.57207,126.528707,142.460286,139.977104,35.81707,-6.160449,14.781849,-5.759466,-98.109687,-77.697192,0.03,0.03,0.03,0.03,0.03,0.0,29.238808,18.227759,26.488458,27.940862,14.766021,11.773597,2.922464,0.956636,2.483182,240.9
5286,5286,176.2,109.12723,117.188593,125.627009,124.789002,139.133191,139.349468,-0.284929,-18.128328,14.383372,-147.647616,17.567889,41.098614,0.042426,0.450999,0.042426,0.450999,0.094868,0.06,16.499339,10.969004,19.803003,13.146574,14.766021,10.988703,8.061363,0.838007,0.216277,235.3
5289,5289,176.3,112.606704,120.604415,126.805854,127.571186,135.450455,138.134156,13.059546,102.825325,-25.067221,42.389736,-35.98416,-51.321086,0.094868,0.042426,0.094868,0.042426,0.042426,0.03,15.126077,10.969004,13.302149,13.600765,16.332454,10.13276,7.997711,0.765332,2.683701,244.6
5292,5292,176.4,110.596431,115.168987,126.85721,129.385244,139.028892,137.969072,-16.909755,-83.228025,-0.403089,2.778388,108.780387,13.389468,0.06,0.042426,0.06,0.042426,0.03,0.03,11.585567,9.961319,8.366549,13.600765,16.38003,10.589517,4.572557,2.528035,1.05982,229.7
5295,5295,176.5,111.876415,118.324891,125.953422,135.12242,135.275637,136.708227,7.249579,-62.048553,-18.549681,11.48263,-140.305767,-63.316895,0.042426,0.0,0.042426,0.0,0.03,0.0,11.585567,9.961319,8.366549,12.046608,16.507272,11.404047,6.448476,9.168998,1.432589,212.9
5298,5298,176.6,111.837331,114.799908,126.488331,132.322814,137.901628,138.351031,-29.688009,46.895577,-27.955696,76.26403,34.866431,12.97228,0.15,0.241868,0.15,0.241868,0.073485,0.042426,9.114172,9.961319,8.366549,12.046608,16.507272,10.980864,2.962577,5.834482,0.449404,223.3
5301,5301,176.7,111.597805,119.222956,125.059269,129.840882,140.061734,139.856158,-97.374306,66.418485,14.233826,-207.033824,92.074708,65.65554,0.24,1.08,0.24,1.08,0.3,0.27,10.208569,9.905367,8.366549,13.666198,16.507272,10.980864,7.625151,4.781612,0.205576,238.3
5304,5304,176.8,113.418589,117.695662,125.942919,133.603393,138.852164,141.744096,98.923474,-27.118228,30.322091,62.976841,-57.153916,-24.046959,0.271662,0.301496,0.271662,0.301496,0.09,0.094868,10.071479,9.905367,6.527019,13.666198,16.507272,10.980864,4.277073,7.660475,2.891932,238.4
5307,5307,176.9,107.755968,121.396614,127.780756,129.312103,141.997829,145.660602,-34.493396,-36.355082,54.12414,70.252684,157.797994,176.674493,0.276586,0.18,0.276586,0.18,0.03,0.03,7.087647,11.390188,3.464626,13.666198,11.690046,9.438597,13.640645,1.531347,3.662773,223.9
5310,5310,177.0,108.685404,116.621153,124.418484,133.247823,140.162399,141.271145,62.405466,-63.818238,138.043281,-63.471239,-16.546086,-13.324086,0.6,0.09,0.6,0.09,0.09,0.09,8.238393,11.390188,7.967664,13.666198,10.454972,8.952375,7.935749,8.829339,1.108746,219.9
5313,5313,177.1,111.924492,118.721269,126.088002,133.098612,135.132064,139.164907,70.893394,94.025973,-18.861022,59.925398,-79.10097,-38.958799,0.03,0.24,0.03,0.24,0.06,0.042426,8.238393,11.390188,7.967664,13.666198,8.935187,8.952375,6.796777,7.010611,4.032843,217.7
5316,5316,177.2,110.248463,125.63345,123.439732,136.126298,136.056503,139.135515,-93.366568,67.543994,71.651253,14.178215,-2.496002,55.351669,0.152971,0.51,0.152971,0.51,0.450999,0.450999,8.238393,13.26857,7.967664,13.666198,7.992868,8.952375,15.384987,12.686566,3.079012,202.8
5319,5319,177.3,106.455024,113.425403,124.091155,130.354155,145.739868,145.533101,-74.990764,-247.945898,41.338703,-176.038474,-70.099164,37.193194,0.094868,0.571577,0.094868,0.571577,0.03,0.03,8.388591,13.26857,7.967664,9.771662,13.232228,8.952375,6.970379,6.263001,0.206766,218.1
5322,5322,177.4,109.735986,118.675823,128.567829,126.828669,143.549271,144.004693,17.109867,54.458936,-10.624915,19.44078,13.049624,-35.733901,0.12,0.042426,0.12,0.042426,0.0,0.03,8.388591,13.26857,9.104951,10.561366,13.232228,8.952375,8.939838,1.73916,0.455423,224.5
5325,5325,177.5,112.8279,121.451212,128.430178,131.490456,138.151126,140.87493,56.659793,117.160354,-4.129522,93.549629,-139.128528,-77.930587,0.042426,0.331361,0.042426,0.331361,0.0,0.042426,8.388591,13.26857,9.104951,12.071543,13.232228,8.952375,8.623312,3.060278,2.723805,205.8
5328,5328,177.6,109.538406,117.562204,125.738652,133.942162,146.407865,141.257674,37.231129,4.761836,-67.697074,29.813816,-29.278716,-156.191591,0.550727,0.042426,0.550727,0.042426,0.06,0.03,8.388591,12.208046,9.104951,12.071543,15.030833,10.64826,8.023797,8.20351,5.150192,212.0
5331,5331,177.7,115.847982,115.075516,128.219652,133.542134,133.344256,135.534144,39.034169,-26.200566,19.620343,-99.463024,42.142638,4.689141,0.03,0.42107,0.03,0.42107,0.042426,0.0,9.392958,12.208046,9.104951,12.358701,17.93561,12.513096,0.772466,5.322482,2.189889,211.9
5334,5334,177.8,111.609862,117.382227,123.80175,135.354076,142.279448,137.010183,14.331423,10.57889,-104.648118,-4.506385,-175.442288,-221.173498,0.42,0.03,0.42,0.03,0.03,0.03,9.392958,12.208046,9.104951,12.358701,17.93561,12.513096,5.772365,11.552326,5.269265,184.3
5337,5337,177.9,111.281732,114.734749,126.870995,135.243243,144.153143,140.13659,-64.033682,-69.755136,29.524641,-35.079854,278.411349,117.966548,0.0,0.24,0.0,0.24,0.067082,0.067082,9.392958,12.208046,9.104951,12.358701,17.93561,12.513096,3.453017,8.372248,4.016553,184.7
5340,5340,178.0,109.116143,115.747479,127.907354,130.68199,141.998257,140.588268,-73.567235,-1.641874,63.944677,-93.364854,-1.857932,25.540154,0.3,0.424264,0.3,0.424264,0.0,0.03,9.392958,12.208046,7.870636,12.358701,17.93561,12.513096,6.631336,2.774636,1.40999,205.0
5343,5343,178.1,107.897718,119.114348,126.027748,130.102056,141.428404,142.728663,86.192448,-52.453993,38.717696,35.728027,87.739113,80.227815,0.301496,0.123693,0.301496,0.123693,0.12,0.12,10.992538,12.208046,7.870636,12.358701,17.93561,12.513096,11.21663,4.074307,1.300259,196.4
5346,5346,178.2,110.597113,124.059476,124.968065,133.535182,135.792006,136.42416,88.077829,72.993564,-48.974042,67.413952,-114.971621,-87.409222,0.21,0.182483,0.21,0.182483,0.03,0.0,10.992538,12.208046,6.208795,12.358701,17.93561,12.513096,13.462364,8.567117,0.632153,192.3
5349,5349,178.3,109.297028,119.148483,126.102211,126.502609,144.45444,142.301911,48.756686,15.305557,30.225915,-75.620405,76.125708,86.396535,0.24,0.099499,0.24,0.099499,0.152971,0.12,10.992538,10.634073,5.120243,12.358701,17.93561,12.513096,9.851455,0.400398,2.152529,201.0
5352,5352,178.4,110.469649,119.023057,127.67294,127.493206,151.227642,151.603336,-1.106666,32.464038,25.258679,27.118386,151.259946,176.486496,0.214243,0.0,0.214243,0.0,0.06,0.06,10.992538,9.324727,4.774517,12.745819,19.288142,16.225496,8.553409,0.179733,0.375694,192.5
5355,5355,178.5,106.444145,116.209921,120.841136,129.137955,153.38162,149.165328,-163.729481,-58.911564,-33.238787,-23.996586,26.969021,-16.143551,0.03,0.108167,0.03,0.108167,0.099499,0.09,10.992538,9.324727,7.589042,12.745819,21.442119,16.225496,9.765776,8.296819,4.216292,167.0
5358,5358,178.6,105.434147,120.364654,110.410257,126.458604,151.56662,139.6176,25.908387,-94.333234,-72.619397,117.343847,-24.917434,-86.661057,0.084853,0.295466,0.084853,0.295466,0.130767,0.108167,11.277449,9.324727,17.809395,14.482024,21.442119,16.225496,14.930507,16.048347,11.94902,185.5
5361,5361,178.7,105.606526,128.233644,106.533488,126.281529,147.767148,132.291813,-46.424547,143.061413,-108.163769,-169.905131,91.807848,3.854245,0.241868,0.366197,0.241868,0.366197,0.0,0.067082,11.277449,14.927358,23.131981,13.865428,20.037365,19.439998,22.627119,19.748041,15.475335,212.2
5364,5364,178.8,127.084276,131.473732,96.780898,133.566624,137.496099,124.586017,-18.004417,92.888046,-111.17569,189.06364,-194.683422,-57.977642,0.469574,0.990909,0.469574,0.990909,0.164317,0.152971,23.113889,16.738983,31.126456,13.865428,18.508856,27.017319,4.389457,36.785726,12.910083,214.1
5367,5367,178.9,133.77652,129.716314,91.517553,137.319653,139.418786,125.327507,47.430695,70.352023,-22.562842,14.381768,64.620606,-12.565163,0.196723,0.192094,0.196723,0.192094,0.067082,0.067082,29.205986,16.738983,37.013071,14.77251,18.974101,27.017319,4.060206,45.8021,14.091279,226.3
5370,5370,179.0,151.929236,128.52874,67.195469,135.904309,139.907928,124.024582,481.486593,5.616818,-587.198572,-19.118686,-22.242979,55.568617,2.76277,0.15,2.76277,0.15,0.11225,0.108167,47.358702,15.726254,60.711885,14.77251,18.974101,29.431041,23.400496,68.70884,15.883345,233.5
5373,5373,179.1,153.612763,134.90716,63.201923,124.639054,150.671183,127.937709,148.728071,38.564852,-218.898513,35.299607,-47.421335,-10.358173,0.96,0.15,0.96,0.15,0.051962,0.067082,49.042229,21.971405,64.471017,14.77251,18.974101,29.431041,18.705602,61.437131,22.733474,196.2
5376,5376,179.2,146.375378,133.778517,74.564058,131.977427,143.547738,125.178503,-2.21331,16.536674,7.261171,-16.980086,-22.25689,-7.447706,0.099499,0.094868,0.099499,0.094868,0.042426,0.042426,49.042229,21.971405,64.471017,14.77251,18.974101,29.431041,12.596861,57.413369,18.369236,204.3
5379,5379,179.3,140.739006,129.358369,83.508878,133.439462,140.144084,125.56068,-122.256598,38.365663,247.740504,24.672783,-61.312635,-49.036139,0.755381,0.243721,0.755381,0.243721,0.03,0.03,49.042229,21.971405,64.471017,14.77251,18.974101,29.431041,11.380637,49.930584,14.583404,240.0
5382,5382,179.4,136.221189,118.963319,90.895486,131.374571,138.579362,127.377352,33.52844,-233.931608,42.540113,-21.224664,1.13759,28.997264,0.123693,0.72,0.123693,0.72,0.09,0.094868,49.042229,21.971405,64.471017,14.77251,18.974101,29.431041,17.25787,40.479086,11.20201,232.0
5385,5385,179.5,130.163248,119.069412,99.029531,131.512677,133.157074,122.789543,-153.38533,-72.889325,230.33113,-6.53889,13.990015,-31.455662,0.752994,0.11225,0.752994,0.11225,0.042426,0.042426,49.042229,21.971405,57.639213,14.77251,20.69088,26.993033,11.093836,32.483146,10.367531,221.3
5388,5388,179.6,114.407564,126.403647,110.231193,134.192155,130.288525,123.762401,-25.571366,1.643069,22.714323,28.584163,-148.997997,57.726462,1.114047,0.03,1.114047,0.03,0.073485,0.067082,48.178616,19.218007,47.208334,13.857253,21.963369,17.779415,11.996082,23.960963,6.526124,216.8
5391,5391,179.7,111.05002,132.826542,112.931797,134.860512,140.234535,127.710596,19.450974,76.256248,32.347463,36.323587,33.258138,26.668164,0.127279,0.152971,0.127279,0.152971,0.03,0.03,48.006237,19.218007,49.729874,13.857253,21.963369,10.734787,21.776522,21.928714,12.523938,198.0
5394,5394,179.8,110.413591,136.842566,114.441,134.474174,142.088403,128.808103,43.321471,-37.678752,27.085792,-8.127724,64.900746,35.832807,0.108167,0.03,0.108167,0.03,0.067082,0.03,45.021638,19.218007,51.239077,13.857253,21.963369,6.969918,26.428975,20.033174,13.2803,207.6
5397,5397,179.9,105.791291,139.365439,108.729782,132.753697,143.735498,130.814621,-130.679885,210.169169,-176.805147,-8.320251,43.117835,12.652189,1.350333,0.073485,1.350333,0.073485,0.18,0.18,47.821471,20.40212,51.511241,13.857253,21.963369,10.397749,33.574148,24.023916,12.920877,196.0
5400,5400,180.0,107.742229,133.826142,111.021751,132.925764,148.746348,130.070512,49.56469,-71.218666,47.189927,-22.885285,98.529595,22.726874,0.174929,0.042426,0.174929,0.042426,0.0,0.0,47.821471,20.40212,51.511241,12.441909,21.963369,10.397749,26.083913,21.904014,18.675836,178.1
5403,5403,180.1,112.115916,128.973896,112.29354,130.109863,146.947654,131.423227,77.110244,-40.077418,-16.979462,-69.706539,-44.86568,-4.068555,0.084853,0.24,0.084853,0.24,0.06,0.084853,47.821471,20.40212,51.511241,10.4589,20.382658,10.397749,16.85798,17.816323,15.524427,194.8
5406,5406,180.2,98.472783,125.339652,107.340438,129.6584,146.152762,134.549106,-49.794645,-34.045451,70.855683,4.767894,27.79388,-42.923271,0.15,0.03,0.15,0.03,0.108167,0.084853,47.902595,20.40212,40.149106,6.266087,18.457823,14.141697,26.866869,22.317961,11.603656,216.8
5409,5409,180.3,116.941528,128.492523,108.506582,130.991018,143.750055,133.62963,185.286585,0.544368,-27.364886,40.482814,-67.511374,15.074082,0.123693,0.108167,0.123693,0.108167,0.094868,0.067082,42.266223,20.40212,31.204286,6.582262,18.457823,14.141697,11.550995,22.484436,10.120425,207.1
5412,5412,180.4,119.774739,120.848908,113.40081,134.248787,137.607572,132.168131,150.107194,-227.881474,178.794997,46.833882,-55.608645,-12.543716,0.424264,0.284605,0.424264,0.284605,0.067082,0.127279,37.748406,20.40212,23.817679,6.582262,18.457823,14.141697,1.074169,20.847977,5.43944,192.2
5415,5415,180.5,124.334506,122.919641,120.493166,132.941763,130.685578,136.875779,-5.244553,-2.783518,62.104897,-18.995553,1.365994,-29.226575,0.161555,0.182483,0.161555,0.182483,0.067082,0.12,31.690465,20.296027,21.463635,6.582262,18.457823,16.011813,1.414864,12.448597,6.190201,189.0
5418,5418,180.6,118.291078,120.555395,121.111889,133.136858,132.643117,135.838772,9.967514,80.746545,35.222489,-14.064692,27.069568,-25.851953,0.174929,0.174929,0.174929,0.174929,0.155885,0.134164,27.674452,21.501595,16.133307,6.582262,18.457823,14.087598,2.264317,12.024969,3.195655,206.2
5421,5421,180.7,117.791054,119.991964,124.410161,134.393638,140.583092,138.639643,-93.335269,6.646436,-46.114284,12.249164,34.850305,39.109567,0.182483,0.094868,0.182483,0.094868,0.11225,0.094868,27.674452,21.501595,20.968722,6.582262,18.106303,11.025967,2.200911,9.983476,1.943449,222.8
5424,5424,180.8,111.115108,116.760933,126.440449,133.256734,145.734585,142.331621,-83.799579,-14.062352,0.86413,-4.392123,88.79467,29.145106,0.108167,0.15,0.108167,0.15,0.094868,0.123693,27.674452,23.534914,21.86486,6.26105,18.106303,13.523518,5.645825,6.816284,3.402964,226.5
5427,5427,180.9,113.266332,111.405716,128.977994,128.187362,148.343806,146.345141,46.615982,-53.192524,25.794198,-129.792687,108.719021,111.580243,0.286182,0.965142,0.286182,0.965142,0.247386,0.268328,27.674452,27.959723,23.999412,6.589379,18.106303,17.032191,1.860616,0.790632,1.998665,216.7
5430,5430,181.0,109.063365,115.139451,127.92675,132.320615,145.878583,145.215125,-45.514214,23.010072,48.549841,36.323899,-34.47846,18.856334,0.417852,0.220454,0.417852,0.220454,0.099499,0.094868,27.674452,22.420426,23.999412,7.95957,18.106303,17.100255,6.076086,4.393865,0.663458,204.2
5433,5433,181.1,115.260319,116.012483,130.682195,134.901929,131.611212,135.317764,94.726622,-0.133635,122.263819,0.272263,-104.10452,-185.114622,0.307409,0.094868,0.307409,0.094868,0.12,0.06,27.674452,17.56818,25.703612,8.084758,17.987383,15.74754,0.752164,4.219734,3.706552,172.6
5436,5436,181.2,114.71449,116.198384,129.539216,132.581772,125.878619,126.521778,-92.336004,36.489558,-36.349681,13.085701,5.475921,-163.097492,0.161555,0.172337,0.161555,0.172337,0.067082,0.09,27.674452,17.493052,23.971411,8.084758,24.041742,20.648989,1.483894,3.042556,0.643159,166.2
5439,5439,181.3,110.490247,120.989106,128.619498,129.2354,131.214506,129.556148,-197.24712,129.713657,-59.290508,-92.905282,-13.197695,-5.744081,0.729932,0.648305,0.729932,0.648305,0.220454,0.226495,17.08387,17.493052,23.971411,8.084758,24.041742,20.648989,10.498859,0.615902,1.658358,162.9
5442,5442,181.4,110.816336,122.519523,125.803467,120.349081,137.21219,142.978439,-11.459379,91.652891,-72.818683,-351.425299,207.259464,560.869154,0.194422,1.053423,0.194422,1.053423,0.03,0.03,17.08387,13.458845,17.350062,14.552848,24.041742,23.679946,11.703188,5.454386,5.766249,194.1
5445,5445,181.5,113.11914,120.497504,118.256772,129.244493,126.286665,140.392901,-2.002,-102.104365,0.862343,-3.634911,64.343403,70.986421,0.137477,0.03,0.137477,0.03,0.03,0.03,15.271141,14.332143,12.522845,14.552848,24.281092,23.679946,7.378364,10.987721,14.106236,179.8
5448,5448,181.6,108.241853,120.694504,117.304965,127.537612,140.079071,149.575867,-96.391848,71.30123,-21.486801,-28.964171,151.17411,68.918636,0.067082,0.03,0.067082,0.03,0.094868,0.067082,13.092315,14.332143,13.445907,14.552848,24.281092,26.638868,12.452651,10.232647,9.496796,168.3
5451,5451,181.7,110.916031,121.659874,120.483161,127.086313,138.973798,148.890615,63.88162,6.520475,50.861169,-5.470133,7.019944,80.376943,0.152971,0.094868,0.152971,0.094868,0.051962,0.051962,9.550504,14.332143,13.445907,14.552848,24.281092,26.638868,10.743843,6.603152,9.916817,146.3
5454,5454,181.8,112.504387,121.106386,118.369521,130.004786,142.591406,142.71806,-13.630227,-213.190003,40.454778,40.706826,-0.86618,15.495353,0.241868,0.541664,0.241868,0.541664,0.11225,0.11225,9.550504,19.224765,13.729843,14.552848,24.281092,26.638868,8.601998,11.635264,0.126654,133.2
5457,5457,181.9,103.400758,112.927984,117.061698,107.567982,143.064073,143.929487,-119.069011,4.546463,-78.359849,-382.653513,-25.384589,-11.341469,0.11225,0.930967,0.11225,0.930967,0.108167,0.127279,14.391599,19.224765,13.729843,27.333946,24.281092,26.638868,9.527226,9.493716,0.865415,131.2
5460,5460,182.0,114.383886,127.506934,102.227601,80.973245,137.553648,133.758008,-69.677465,-48.241633,-150.202355,-31.645487,-199.103169,-224.565967,0.408044,0.666783,0.408044,0.666783,0.084853,0.084853,14.391599,17.854046,28.523271,53.928684,21.736698,26.638868,13.123049,21.254356,3.79564,131.1
5463,5463,182.1,123.897019,144.11657,83.434678,54.052606,147.659326,149.755696,-100.381922,82.038344,-13.306321,-128.819595,25.954806,57.406207,0.577841,0.553986,0.577841,0.553986,0.155885,0.161555,23.842325,31.340134,47.316194,80.849323,23.517442,26.638868,20.219551,29.382072,2.09637,157.9
5466,5466,182.2,112.360823,157.922924,82.081064,33.58815,147.030368,130.699624,-49.633985,17.104987,24.618833,-152.528668,-163.084104,-511.911876,0.18,2.015366,0.18,2.015366,0.241868,0.249199,23.842325,45.146489,49.335413,98.993623,28.32462,27.467443,45.562101,48.492914,16.330743,165.5
5469,5469,182.3,103.555609,166.521566,84.436342,24.695342,152.213612,146.853423,-42.176256,51.841749,-61.714353,-31.304095,238.894025,319.032997,1.095308,0.65521,1.095308,0.65521,0.09,0.084853,23.842325,53.745131,47.359062,107.367915,28.32462,27.467443,62.965958,59.740999,5.36019,137.7
5472,5472,182.4,112.075922,173.534364,88.554954,24.932722,145.406496,152.778469,194.501679,77.62118,228.407541,4.983725,-170.469752,140.213645,1.00085,1.237295,1.00085,1.237295,0.099499,0.073485,23.842325,60.757928,44.862098,105.309444,29.429799,28.56914,61.458442,63.622232,7.371973,131.3
5475,5475,182.5,125.268752,166.196894,88.500638,25.660877,117.668519,146.397756,-112.528517,-65.472216,118.023486,-3.322067,187.878435,27.870135,0.28931,0.760132,0.28931,0.760132,0.130767,0.184932,25.618944,60.757928,39.684275,105.309444,42.165779,28.56914,40.928142,62.83976,28.729237,135.2
5478,5478,182.6,125.706743,162.00808,92.070739,27.367007,133.837569,153.458844,27.277574,-8.00359,-59.92672,25.3361,53.572359,301.245722,0.146969,0.254558,0.146969,0.254558,0.146969,0.169706,25.618944,60.757928,39.684275,105.309444,42.165779,29.249515,36.301337,64.703733,19.621275,115.6
5481,5481,182.7,137.763666,163.3289,89.776386,29.694266,135.731931,166.834779,7.278179,-28.408923,30.015545,6.004322,-101.988665,94.988332,0.108167,0.250998,0.108167,0.250998,0.042426,0.03,36.618907,60.757928,39.684275,105.309444,42.165779,42.62545,25.565234,60.08212,31.102848,86.6
5484,5484,182.8,133.139339,164.996928,94.863309,28.588173,137.178962,165.586123,-1.761314,-26.375746,10.605399,17.78274,-25.940974,16.740557,0.03,0.311769,0.03,0.311769,0.03,0.06,36.618907,60.757928,39.684275,105.309444,42.165779,43.928068,31.857589,66.275136,28.407161,136.3
5487,5487,182.9,126.430979,167.509163,96.85981,30.693858,140.525152,163.747042,-72.824958,47.440686,30.948167,58.490059,-5.791799,-58.97995,0.633561,1.120089,0.633561,1.120089,0.182483,0.192094,36.618907,60.60638,36.120329,82.87264,42.165779,46.708969,41.078184,66.165952,23.22189,166.4
5490,5490,183.0,113.00948,166.537055,102.125267,31.219873,143.199078,163.243939,-219.606088,111.301886,39.757971,41.406885,94.210877,166.553027,0.271662,0.510882,0.271662,0.510882,0.042426,0.108167,36.464056,46.027429,21.286232,56.277902,42.165779,46.708969,53.527575,70.905393,20.044861,149.4
5493,5493,183.1,110.583052,150.383502,101.883545,41.30559,139.321676,149.749533,261.14241,-194.341898,-327.224398,203.602963,149.258273,9.690518,0.430581,2.187121,0.430581,2.187121,0.11225,0.134164,42.271055,29.417794,31.849656,29.357264,42.165779,46.708969,39.80045,60.577955,10.427857,143.3
5496,5496,183.2,114.805466,146.396457,97.46928,55.849605,137.138145,151.465813,-38.966908,-207.300369,39.291155,309.806425,-110.47258,-314.076693,0.099499,1.344656,0.099499,1.344656,0.03,0.03,42.271055,36.898485,31.849656,31.154263,42.165779,46.708969,31.590991,41.619675,14.327668,149.1
5499,5499,183.3,106.111954,121.90837,106.588408,86.747343,130.059898,133.463618,129.871533,-230.82455,100.769655,325.335747,-117.411486,-23.130716,1.143154,0.961873,1.143154,0.961873,0.09,0.073485,42.271055,51.625994,31.849656,62.052,42.165779,37.45468,15.796415,19.841065,3.40372,125.9
5502,5502,183.4,101.63515,111.376266,108.837723,111.199009,130.178017,130.06886,-18.825583,55.320061,-31.022644,85.743216,117.855205,63.290178,1.689882,0.646916,1.689882,0.646916,0.03,0.0,42.271055,66.101621,28.224503,86.266287,34.000592,42.95911,9.741116,2.361286,0.109157,97.4
5505,5505,183.5,116.891401,122.739579,114.487448,133.169988,137.495727,139.100749,256.257364,-25.760125,-4.02489,215.251245,-5.551981,-61.843458,0.241868,1.388128,0.241868,1.388128,0.18,0.18,42.271055,60.076421,27.649896,107.509111,25.530559,42.95911,5.848178,18.68254,1.605023,101.0
5508,5508,183.6,113.45281,123.328401,118.915783,138.990287,127.174949,123.856146,43.240519,83.480533,-75.384966,4.029934,-344.00561,-353.336355,0.618466,0.478121,0.618466,0.478121,0.042426,0.067082,42.271055,60.076421,34.456901,111.62328,16.949568,47.062152,9.875592,20.074503,3.318803,124.6
5511,5511,183.7,113.297834,120.370077,122.512898,139.661868,122.525002,121.81644,-190.750311,-396.457793,71.282617,-3.368819,96.352017,64.966742,0.216333,0.127279,0.216333,0.127279,0.067082,0.03,40.015056,60.076421,32.736512,111.778747,23.88581,51.267416,7.072243,17.14897,0.708562,112.1
5514,5514,183.8,115.036781,130.27073,137.054961,142.228635,119.043632,114.549777,209.607816,384.065468,-9.618877,-34.334992,-176.010989,-43.230839,0.523927,0.642028,0.523927,0.642028,0.174929,0.15,35.390729,60.076421,42.512281,114.956586,24.155446,56.368521,15.23395,5.173674,4.493855,105.0
5517,5517,183.9,108.130844,125.837711,135.706725,133.696506,123.312136,116.896707,-51.027909,-81.139903,-14.470761,-15.246471,89.659829,-16.126317,0.3,0.161555,0.3,0.161555,0.067082,0.067082,28.682369,60.076421,41.249898,113.533491,25.801424,49.197265,17.706867,2.01022,6.415429,100.8
