,Frame,angle_11_13_15_at_13,angle_12_14_16_at_14,angle_11_13_23_at_13,angle_12_14_24_at_14,angle_11_23_25_at_23,angle_12_24_26_at_24,LDF_bloodflow
309,309,127.396672,103.964991,13.969917,129.014462,95.563301,94.658733,152.7
312,312,122.381336,104.681543,16.474643,121.376092,92.303869,93.573016,144.1
315,315,119.883267,95.627464,15.577089,125.784521,90.484419,92.501076,139.6
318,318,131.477118,98.982941,15.355295,127.83572,91.219745,86.592798,131.0
321,321,133.507175,99.704815,17.450096,124.62119,91.761053,99.067924,113.8
324,324,134.030036,100.147934,13.456562,127.905733,95.724456,90.48353,106.9
327,327,114.998985,117.055466,17.7933,125.403458,90.004649,100.968872,87.2
330,330,112.163466,112.151564,18.360935,120.11287,89.669114,94.237785,76.4
333,333,114.964395,104.363147,17.838179,123.620834,92.567283,98.551582,118.0
336,336,123.872328,108.536793,18.723556,123.286642,92.362674,98.959243,143.8
339,339,110.402258,107.528572,25.584779,107.784296,105.92612,117.930768,136.1
342,342,117.034529,104.777053,23.419988,120.369929,100.501407,115.358382,129.5
345,345,124.961806,102.528251,20.245415,124.124864,98.192992,106.948514,104.4
348,348,112.133609,117.965799,21.819053,118.782314,90.283016,106.085247,93.0
351,351,111.056873,104.198934,22.794072,114.576019,101.135462,104.667202,88.1
354,354,114.879924,110.553934,23.029828,117.686163,95.742851,97.641985,99.7
357,357,114.379553,106.07664,24.301957,116.745642,107.714999,117.360086,148.6
360,360,127.527761,102.40737,21.318915,125.887845,100.519715,106.860927,120.8
363,363,128.958438,105.193796,21.982539,122.041142,87.577777,113.00739,101.3
366,366,120.401394,104.114934,20.404816,129.76618,99.272238,88.923906,118.9
369,369,136.254274,107.068603,16.118667,129.614991,97.356067,90.77427,99.1
372,372,120.173524,100.306298,16.046475,130.629734,96.500776,104.684967,67.0
375,375,122.991703,110.46917,12.672607,126.075759,87.063338,105.025687,75.8
378,378,111.976529,117.294012,19.435261,125.422112,100.837327,116.756878,119.1
381,381,95.927794,129.446089,17.202266,119.981673,113.580389,113.714695,124.8
384,384,102.447521,141.279382,10.635622,135.619365,99.774547,109.67808,120.0
387,387,100.004312,140.280536,14.332939,131.025327,100.253269,115.470334,133.4
390,390,121.605325,125.660296,17.41539,136.175561,103.253364,110.153346,110.4
393,393,112.755475,115.00348,12.528291,138.044077,103.257354,108.113007,99.6
396,396,113.271461,146.539454,21.018514,138.258631,118.817666,102.4511,94.0
399,399,114.530372,146.890704,19.476328,136.505492,117.047783,104.241017,102.5
402,402,112.021266,131.586809,24.750641,126.410384,126.883123,116.784887,125.2
405,405,116.712467,153.782184,22.865488,136.16064,124.439057,105.155886,102.1
408,408,119.146372,146.866005,26.81765,136.605306,131.325492,114.898611,111.3
411,411,128.574306,150.990877,28.633394,141.931237,134.527146,112.21297,108.9
414,414,135.403367,147.211639,32.432121,141.897986,136.357687,111.298064,77.0
417,417,152.175953,142.102838,36.68628,142.792907,143.06009,115.837302,59.7
420,420,141.200712,145.195098,38.336666,141.647149,141.03486,112.681121,48.2
423,423,141.49601,142.726291,41.473617,140.430996,146.004258,116.171174,75.0
426,426,144.635759,139.201381,39.368459,138.704984,158.03514,127.376382,112.1
429,429,152.137561,134.467057,39.845993,135.158615,156.370149,125.135111,105.0
432,432,156.924931,134.157837,39.691283,136.194137,149.597823,119.817668,98.7
435,435,155.681157,140.042283,40.816486,136.230184,152.641761,120.475228,79.5
438,438,154.352813,147.870471,42.19672,136.12342,158.356659,126.542401,61.7
441,441,152.05047,143.347177,42.375697,136.685599,147.723886,124.801831,50.2
444,444,156.330649,140.622696,41.153853,134.679647,145.546812,129.480001,55.1
447,447,157.141387,144.756617,42.384011,131.722799,143.657352,127.091643,86.9
450,450,159.712608,143.843313,41.41838,128.264227,140.024265,125.664338,109.5
453,453,162.332246,147.386572,39.95929,126.589302,141.747589,133.099435,91.7
456,456,164.510067,151.256749,42.335083,127.643381,137.701039,131.508272,100.7
459,459,163.570163,154.463835,45.226079,135.158386,138.877389,129.150949,101.9
462,462,161.33149,142.51217,44.35536,131.541428,139.59303,129.359677,91.0
465,465,165.232698,147.401832,44.463448,132.1864,137.836417,128.059161,70.4
468,468,164.332509,161.056585,49.678715,133.18971,125.211123,124.120467,75.4
471,471,161.393774,147.307356,45.303284,129.802474,134.985664,127.895,99.5
474,474,163.080127,150.396428,44.441406,129.815793,133.932845,126.709637,119.1
477,477,165.329175,134.874085,45.275067,131.325574,133.459624,131.53525,94.2
480,480,165.013632,146.925651,45.64202,131.753958,139.944874,135.78205,96.2
483,483,165.355513,134.320584,46.659974,136.908678,147.448093,142.10589,91.8
486,486,165.810643,136.356453,45.969223,134.115923,145.703876,138.966386,77.6
489,489,164.272362,156.686845,46.915202,129.144465,134.934117,126.698227,74.2
492,492,159.742952,160.918438,47.805194,127.863064,140.187624,125.740668,77.9
495,495,157.051729,158.416155,49.856106,124.237251,138.662096,126.950722,119.5
498,498,152.930798,159.304555,52.231415,121.439529,132.684227,132.1786,113.3
501,501,155.639368,158.936606,50.73077,124.660562,140.209441,128.937314,101.8
504,504,157.270743,157.035424,50.689523,126.575131,146.714033,131.076246,102.4
507,507,152.20137,153.610879,50.713106,124.585377,152.9708,128.219471,87.2
510,510,153.084084,149.752135,50.903942,126.848933,147.007003,130.681148,69.1
513,513,148.879622,151.201085,51.211595,125.56084,156.241644,135.052992,63.9
516,516,150.54808,148.966511,52.232654,126.155882,154.374499,134.147682,64.8
519,519,148.234466,145.848329,50.824543,121.85836,159.655672,136.594173,93.4
522,522,149.234744,151.224607,51.396413,116.094168,153.278802,126.664628,97.7
525,525,151.597325,143.728759,51.879098,116.341732,152.397662,140.380426,85.6
528,528,148.366854,142.341383,49.859302,114.295247,154.377852,138.889895,107.3
531,531,148.943575,142.05807,48.410805,114.857289,154.673353,141.257311,100.6
534,534,148.634625,148.67499,48.429146,99.503106,148.507876,138.127319,82.0
537,537,144.008696,144.99824,50.20793,103.516309,156.836262,135.042777,61.8
540,540,141.833913,145.305812,50.578036,101.554514,150.579319,130.358315,70.4
543,543,141.532751,147.515428,50.87713,97.468682,147.752819,130.776373,128.4
546,546,137.599057,145.046712,49.670431,93.87986,145.699927,136.377452,139.7
549,549,138.536908,140.382898,52.065337,98.22502,145.391293,140.349895,110.9
552,552,140.138245,146.180496,52.297835,96.997892,159.079722,140.791569,81.3
555,555,141.009699,150.233156,53.175962,95.733907,146.503915,133.930861,76.0
558,558,129.801135,149.680757,56.689718,96.032091,149.694319,133.782603,77.7
561,561,137.068272,151.840668,57.168141,92.1458,139.558685,135.530967,77.2
564,564,132.393403,155.940018,60.121012,96.575995,146.346731,136.284247,104.0
567,567,135.283068,142.880228,61.689145,102.68326,145.263244,135.633318,129.9
570,570,137.842467,147.149636,62.456677,104.603326,137.63913,135.98228,112.3
573,573,131.167989,152.938568,65.555508,102.56027,148.999329,136.564165,100.6
576,576,133.804729,155.178386,64.730275,91.48005,154.801913,140.531841,84.9
579,579,129.726392,150.289404,67.247793,104.370793,151.446696,144.123489,81.3
582,582,130.049915,148.525863,70.367496,97.531028,148.257116,141.207399,72.1
585,585,128.102057,148.079804,70.209564,105.329355,147.53441,140.702085,86.7
588,588,129.274593,145.775019,72.162149,105.887744,142.899757,137.979149,126.2
591,591,121.262843,141.988284,72.292849,112.601999,143.04625,133.844453,112.8
594,594,116.033783,148.084229,72.103347,117.017541,152.389282,133.378224,107.3
597,597,119.686959,135.56345,73.338544,123.162103,151.418851,132.731128,117.7
600,600,115.736754,137.957177,75.433546,123.07546,147.236351,133.539524,114.2
603,603,117.27518,134.582581,75.669121,126.416072,146.42377,131.951447,102.2
606,606,114.842908,132.324481,78.380601,127.812806,142.804238,130.429139,87.1
609,609,114.823711,126.42191,79.973927,130.033231,138.752811,128.45364,119.8
612,612,115.49068,128.929956,83.320639,131.719826,138.326869,129.642083,136.8
615,615,115.999214,132.800815,85.984001,133.341688,134.38562,130.529514,122.6
618,618,117.825943,125.889418,89.027197,130.920305,134.268669,129.662792,128.1
621,621,113.386614,125.791226,88.266643,134.298358,137.047828,128.896135,94.1
624,624,115.153069,122.356107,96.739697,132.067827,127.381695,127.067747,82.6
627,627,114.433922,125.795436,96.241999,136.690841,121.883495,121.875437,76.6
630,630,116.461033,121.468733,98.496123,140.134882,123.55618,121.018958,69.8
633,633,113.928117,122.143419,96.295376,131.601475,130.006936,126.143295,133.7
636,636,108.440735,117.354833,100.468292,137.453345,125.880158,121.907469,123.1
639,639,108.936845,116.372463,102.163637,135.212604,127.276548,124.908211,113.4
642,642,109.733574,123.438611,102.940093,140.604604,136.283316,133.169065,97.3
645,645,111.800521,115.888728,106.880404,143.95825,136.79763,129.35697,76.2
648,648,106.585213,115.292819,108.065486,143.48007,136.434053,125.991691,72.5
651,651,106.742489,107.573786,108.064955,142.666534,137.696219,129.780038,66.0
654,654,111.594499,122.174643,108.510755,141.850449,140.02887,133.466577,79.8
657,657,108.375798,119.782999,108.072552,142.929425,138.506673,131.927863,116.9
660,660,108.933299,121.277436,109.736102,142.254095,135.929266,133.837071,130.3
663,663,110.434253,121.85861,111.498135,142.272462,139.661917,135.895262,144.0
666,666,108.160129,124.317342,112.533623,142.36468,139.415726,131.33236,134.6
669,669,109.138815,119.510399,120.280572,139.962757,141.81191,132.488262,108.0
672,672,108.615338,117.898607,122.731244,141.731508,139.733135,136.50996,140.9
675,675,101.871893,116.210456,123.654233,138.901233,138.349178,129.262036,122.3
678,678,107.939724,116.393382,125.144446,142.42466,134.275542,131.36673,108.6
681,681,106.909795,114.993975,123.049445,140.952087,139.674375,139.388649,115.3
684,684,110.809733,117.902328,121.940092,141.754288,140.159772,139.327029,100.2
687,687,113.263399,118.474753,123.053892,141.312222,146.168752,145.499346,91.4
690,690,116.693769,119.322697,124.403447,141.281311,144.546114,145.069727,90.5
693,693,113.933657,121.980853,118.744059,139.883382,140.730961,137.984733,73.6
696,696,112.873077,123.12365,125.58369,140.642652,141.561232,139.984144,68.1
699,699,109.744723,120.081915,127.849851,141.382453,145.725612,139.558827,62.0
702,702,113.339802,125.096573,123.531648,141.420978,139.625046,137.145679,83.7
705,705,111.767584,111.704892,126.42677,139.846985,143.450999,141.431517,123.8
708,708,120.757819,111.117152,131.43162,139.382697,139.28172,146.247157,102.5
711,711,113.264549,113.052187,128.19452,139.056817,146.158851,141.493387,96.5
714,714,115.463608,111.798236,133.322481,140.20145,140.496395,140.349569,102.9
717,717,114.953067,110.160791,134.01495,138.138875,137.730144,139.822143,89.7
720,720,116.244142,110.510853,133.74798,139.403913,135.074212,139.3884,71.5
723,723,116.057011,114.961483,133.400967,138.810106,134.440805,137.652565,85.0
726,726,118.725899,115.595308,134.250616,138.832213,136.248982,139.282893,121.3
729,729,120.371402,121.630848,131.828985,136.547727,139.725623,139.23707,126.0
732,732,118.952822,117.410021,132.687714,137.785671,143.209963,144.809779,117.9
735,735,118.241731,114.962945,130.890286,138.414856,138.655856,138.642461,108.2
738,738,116.50376,109.344432,134.220401,136.976836,142.096212,145.856999,105.7
741,741,122.538584,118.671383,134.040262,139.140106,138.590578,143.428732,93.9
744,744,123.658093,115.265013,132.3294,139.240329,138.473368,141.204763,84.1
747,747,121.220751,114.092468,129.903318,138.908937,142.03585,143.731304,99.8
750,750,116.92007,118.252829,126.507384,140.095973,143.25202,145.130317,154.1
753,753,110.816767,114.956727,120.999807,137.84962,149.309742,144.427275,135.0
756,756,112.521229,119.050682,118.412735,140.362229,151.324413,143.22689,126.6
759,759,112.651602,118.346864,114.278386,139.784919,151.523806,141.293061,138.7
762,762,114.2779,123.213072,113.298794,140.785196,141.622942,141.484545,118.2
765,765,113.393817,121.127484,111.32614,139.496541,143.864882,133.176342,114.6
768,768,108.559925,116.517021,116.202695,140.019735,144.579052,133.144431,98.2
771,771,112.900597,120.85692,114.533129,139.801614,140.939418,130.918205,113.5
774,774,104.380059,113.838507,118.705688,139.441298,136.882101,127.614387,152.8
777,777,109.443033,121.946083,113.971962,140.905474,139.444472,129.346806,134.0
780,780,106.069458,121.558982,111.346706,139.142214,140.328636,127.518164,126.8
783,783,110.277994,117.433098,113.651432,141.206768,138.848738,126.798653,117.5
786,786,108.24602,123.422237,108.868277,136.297932,141.621661,129.411448,109.9
789,789,109.157224,121.68878,110.708159,141.040731,129.334665,123.756058,109.4
792,792,113.543154,121.543729,111.513884,142.538644,129.025506,119.196882,106.7
795,795,114.178202,124.729871,106.072926,141.408865,127.239762,116.843652,158.3
798,798,113.995601,118.820197,102.740631,125.975491,131.761878,122.69838,152.2
801,801,112.557749,117.715482,103.517556,135.087544,129.545655,117.987176,121.8
804,804,113.096419,121.580131,103.054204,138.405725,131.086738,120.114911,134.8
807,807,114.660409,130.351692,101.936808,135.308317,126.645982,118.031908,107.8
810,810,114.599198,134.037419,98.595573,130.412093,132.562886,120.497655,121.9
813,813,120.539003,132.125431,90.104578,125.828178,133.700651,115.087149,119.6
816,816,115.697163,126.321902,99.977703,134.536553,129.078737,125.390297,117.0
819,819,119.851183,127.435751,91.131478,133.391558,131.401887,120.398368,156.9
822,822,119.674111,127.905806,89.344403,129.410482,138.28265,125.749599,152.4
825,825,115.975693,131.853302,88.305742,128.076914,138.656175,125.603137,138.9
828,828,115.962919,128.613113,91.11614,130.505989,134.722654,121.217777,131.3
831,831,122.639526,131.295778,84.167527,126.363925,133.441157,120.555483,103.6
834,834,122.533101,142.497498,82.926558,126.452362,132.538706,119.796415,90.8
837,837,125.970594,137.183268,81.554029,127.325486,130.708988,122.204985,92.0
840,840,120.248115,136.82787,85.787141,121.624187,124.273182,106.678528,124.2
843,843,122.177132,138.148222,81.285304,122.90155,129.055742,113.189909,167.1
846,846,125.07551,139.577922,80.48481,126.952233,129.388708,116.094311,136.6
849,849,119.043864,135.93155,78.389154,117.355217,134.731513,116.325276,133.2
852,852,120.826328,137.324402,80.1999,119.197874,133.19241,117.467634,121.9
855,855,124.010472,138.502946,80.388042,119.722487,136.29131,122.250249,115.2
858,858,123.019128,143.782368,78.934014,116.945277,136.661738,119.727474,116.4
861,861,126.601494,145.768894,78.552582,117.326912,138.162166,119.105282,108.1
864,864,128.21687,142.476114,80.274212,115.926635,142.518157,129.201553,130.7
867,867,131.283479,142.447209,76.735526,117.174958,147.724858,131.468465,136.6
870,870,132.073545,141.290428,74.401536,110.143453,138.569164,117.233877,133.8
873,873,132.218039,142.745996,75.204467,110.226593,145.867854,123.717588,138.9
876,876,135.478632,145.454897,72.162866,109.248046,149.098993,127.331376,133.1
879,879,135.628834,140.81065,74.329286,109.62144,146.041196,128.667461,121.3
882,882,133.526497,140.251914,75.120568,107.749377,142.058285,126.995063,137.1
885,885,139.606594,144.598259,69.782213,105.883657,152.379746,135.659933,144.0
888,888,136.753724,139.837222,71.965993,110.126452,147.725167,130.647577,147.5
891,891,135.736451,139.237981,73.630123,109.057667,141.677874,132.573981,150.0
894,894,137.668187,139.575288,68.816425,103.580032,148.85458,134.59839,145.3
897,897,138.917701,144.369305,67.139439,101.0531,150.169774,136.749499,141.1
900,900,138.162214,144.496151,67.757239,109.844087,139.23854,137.235188,126.7
903,903,136.418958,146.326151,67.886034,107.074738,148.239798,127.138705,120.4
906,906,136.416642,143.879079,66.31443,106.671264,147.495099,128.131364,111.2
909,909,140.692843,143.578165,61.550502,100.083694,150.231171,137.701605,132.8
912,912,139.286329,147.06679,61.127465,100.536423,152.117949,128.546255,150.4
915,915,140.166793,138.679131,61.820822,110.641324,144.060576,130.911121,134.7
918,918,140.877753,139.573318,59.422304,104.973902,150.264968,133.390459,139.3
921,921,143.981236,144.556777,58.265006,107.884559,156.118387,137.131354,144.9
924,924,146.550203,143.523904,56.539689,104.517781,162.185902,142.375881,145.3
927,927,148.938696,142.467067,55.221097,99.795526,150.832428,138.80215,131.1
930,930,147.797899,140.67869,56.118896,103.755907,151.653331,136.534509,123.7
933,933,148.423876,145.813767,54.897079,102.069615,149.999352,131.737382,154.7
936,936,152.369661,141.698257,52.516191,98.396866,149.043853,137.266987,170.2
939,939,149.277441,145.471192,55.290791,107.333903,142.37458,141.977363,151.7
942,942,148.385972,145.552996,55.35845,104.389042,150.814315,138.130294,160.8
945,945,151.355403,146.460679,53.296662,104.709991,144.20633,132.167549,151.2
948,948,149.745622,148.164681,54.87032,101.281829,133.801194,141.009275,129.5
951,951,151.362938,147.042422,53.855694,105.178191,149.689379,127.743342,128.4
954,954,148.893645,147.841298,56.495201,108.500608,153.159683,128.953009,138.7
957,957,154.244462,136.692779,55.990243,114.81714,138.503108,138.660075,168.4
960,960,156.823495,137.35104,54.29918,116.574958,145.258665,141.929243,159.6
963,963,153.690092,139.452907,52.906296,116.940333,156.667475,127.268577,147.5
966,966,153.228182,140.1271,52.336046,121.390441,138.851452,139.370305,154.9
969,969,157.896344,143.552318,52.811527,123.403673,147.348216,126.003588,140.6
972,972,156.214522,145.043163,54.878067,125.62541,146.870535,127.877163,127.5
975,975,159.24095,138.433783,52.991819,124.196357,136.650753,127.578682,128.3
978,978,156.057111,144.365863,54.269816,122.567129,139.583302,131.709189,162.9
981,981,156.265268,140.994033,52.904615,123.286945,141.655131,131.268461,149.6
984,984,158.253897,140.420583,51.202088,119.817762,138.623208,130.799719,147.8
987,987,159.550213,135.939462,50.090432,125.795129,132.264322,126.196868,147.7
990,990,160.822706,127.119182,47.236218,125.145982,127.406325,124.413292,147.6
993,993,162.553853,135.556519,50.263391,127.387326,121.330259,126.989166,136.5
996,996,159.678251,137.142976,47.216063,125.413808,131.483048,114.53966,138.0
999,999,148.154421,129.272436,49.14923,131.032037,132.486564,105.903266,170.7
1002,1002,150.655287,129.578074,48.747502,125.170292,125.807876,101.163264,186.5
1005,1005,153.129865,128.436817,47.223412,129.002625,126.534493,101.258704,173.2
1008,1008,148.742634,136.744609,50.135285,130.497461,127.475643,103.094431,170.4
1011,1011,151.267584,143.645768,51.011777,134.377466,130.585179,104.125496,158.3
1014,1014,151.693385,133.991335,50.768431,135.107287,133.284246,101.126432,163.6
1017,1017,146.975751,131.236028,49.264366,134.895853,132.447444,113.388071,140.1
1020,1020,145.258996,145.41703,48.302818,136.025175,130.598769,116.981114,162.1
1023,1023,151.24404,138.222614,46.383175,131.574931,121.580631,104.567777,171.3
1026,1026,147.920359,140.751596,45.092931,131.570336,119.217716,100.834134,164.3
1029,1029,154.932565,138.935957,45.561917,128.29563,113.719631,95.275791,141.5
1032,1032,131.488686,136.206059,42.596912,133.016499,114.94086,99.324074,123.1
1035,1035,137.670663,136.612411,37.348053,132.683785,114.36628,129.791178,142.6
1038,1038,140.475028,136.2042,37.622534,132.359438,117.895691,108.5956,135.2
1041,1041,130.095605,139.488973,35.523699,132.448004,117.515767,120.309394,135.7
1044,1044,125.851024,138.228693,33.383823,130.587026,125.675137,114.961478,153.4
1047,1047,135.73036,122.189813,31.398313,129.768485,124.327492,115.968323,144.4
1050,1050,98.815595,130.220965,24.856268,129.27034,121.44188,114.553839,134.1
1053,1053,119.684102,132.499927,24.477514,133.398762,112.157342,108.416407,143.7
1056,1056,128.739484,125.296213,24.673619,130.35742,123.227263,111.616243,135.1
1059,1059,135.976468,139.682942,25.279836,130.239706,111.48476,109.360688,125.7
1062,1062,115.245128,141.745892,23.915086,131.037976,109.379248,123.741459,108.6
1065,1065,114.097446,131.33037,19.407503,127.753532,119.851863,109.900195,109.9
1068,1068,116.706981,139.599996,19.945609,132.137982,114.371191,115.961948,161.8
1071,1071,119.168306,131.698138,21.577305,132.649873,117.881885,105.117916,169.6
1074,1074,115.732841,128.757887,24.055205,130.420751,121.660471,115.326077,148.7
1077,1077,120.232763,121.028902,16.905906,133.718253,104.706865,110.801809,161.5
1080,1080,114.83303,133.64393,15.248199,126.706812,112.738226,106.822843,157.3
1083,1083,123.043235,124.803998,18.662828,131.852729,108.22525,117.004108,139.6
