Frame,angle_11_13_15_at_13,angle_12_14_16_at_14,angle_11_13_23_at_13,angle_12_14_24_at_14,angle_11_23_25_at_23,angle_12_24_26_at_24
36,120.971939,139.126586,92.206024,133.664902,122.83113,115.094126
37,129.403333,137.154723,89.382621,130.722522,125.530607,117.236136
38,126.685485,136.909395,88.344098,131.46983,126.3126,118.08976
39,128.063306,137.019502,85.721478,130.847841,128.668896,119.708826
40,130.139831,136.169823,86.431009,131.52887,127.473598,120.511532
41,130.928548,136.09946,85.857821,130.692399,130.545924,121.462314
42,131.385644,134.024196,84.137565,129.462038,132.280086,122.910569
43,128.823379,136.760733,83.236219,130.35178,138.160818,124.318751
44,127.648826,136.783163,82.96978,130.848862,136.733898,120.987974
45,124.960062,140.742627,81.724732,125.546235,134.056747,116.277411
46,124.127566,139.722279,81.443172,126.819641,134.4096,116.984296
47,125.301459,138.078296,79.69068,126.833045,135.381549,116.040022
48,125.989327,136.831044,77.637023,127.507281,135.313813,117.087128
49,122.051207,147.722384,76.039177,121.873925,133.538755,115.6402
50,124.505298,144.809366,75.597818,122.157551,132.166211,120.109011
51,123.338495,144.391229,75.619105,123.04265,130.886933,117.441212
52,123.718607,141.899449,75.499912,128.86014,130.050393,116.524708
53,124.095222,143.500921,74.587785,123.74362,132.215183,115.78028
54,131.054798,140.729492,72.865943,121.473203,131.929642,125.213075
55,130.106343,142.055557,73.563625,122.032047,132.976988,122.37931
56,132.367487,142.307146,72.036327,120.609432,129.656849,125.281837
57,133.734274,145.203452,70.896196,118.470806,135.734895,125.655042
58,136.065656,151.093712,69.463542,107.925448,137.095051,117.824623
59,132.785507,147.587113,69.858312,111.607178,138.810086,116.879248
60,136.499555,143.819441,68.476529,113.445947,147.434867,127.94027
61,130.484286,143.705928,69.255774,111.948734,131.350083,129.01515
62,134.91117,142.845593,68.270757,113.50285,152.552054,132.574072
63,136.475872,145.840127,68.093782,112.255616,151.042728,130.181513
64,136.893933,145.06651,67.810667,111.101895,148.990063,121.913103
65,136.986576,145.575038,66.971077,109.350378,154.022017,121.83872
66,137.771519,145.514298,66.575849,110.712607,152.777491,126.005939
67,135.823237,142.403014,66.34645,114.427431,158.211923,128.7977
68,139.503258,142.532968,64.61094,112.660486,159.153984,127.97038
69,138.534709,141.187008,64.300739,109.869474,157.013371,128.623822
70,136.253096,139.836629,64.758958,108.206955,154.167763,127.43667
71,135.263716,143.705634,65.34891,106.392139,155.389242,129.305374
72,138.850907,141.878149,63.29036,107.008968,158.184513,129.782489
73,138.325753,144.392605,63.801511,106.325094,157.489024,130.349006
74,137.951025,142.882831,63.719656,106.789161,157.325405,130.906329
75,137.325161,144.592011,63.546872,105.716814,138.892979,118.416744
76,139.969373,150.490848,62.274332,103.403087,145.124921,121.092986
77,140.254088,151.030255,61.507821,102.561987,151.081574,123.158099
78,141.776572,150.768307,60.667945,100.50938,149.553274,122.648389
79,141.065333,154.444895,61.568821,102.517341,158.198848,133.648789
80,140.038908,149.875786,61.010508,107.208608,161.101187,133.813949
81,140.956183,145.685135,60.290779,106.389846,165.814419,138.420412
82,143.061216,143.767735,59.145165,109.698876,150.599314,128.355136
83,142.954095,144.797018,58.424717,108.81116,153.31793,130.232128
84,144.103443,143.91119,58.38591,110.223488,146.672387,125.686468
85,145.544873,141.600073,57.95083,110.431066,150.755142,129.049057
86,147.271264,140.775309,57.557019,113.418772,150.139465,129.474002
87,149.243406,142.467363,57.165327,111.690457,151.010131,128.490086
88,149.355817,141.537417,56.573532,112.01638,150.443204,133.72817
89,148.525846,148.344697,56.458459,105.076483,149.426762,134.023502
90,149.214032,149.825809,55.853275,105.700015,147.45313,135.401876
91,151.422677,148.523294,55.434783,111.027947,153.888797,134.903235
92,151.946375,151.84887,55.105329,109.126634,155.556879,135.003376
93,152.406914,148.520843,54.902737,110.049239,144.865185,139.090207
94,153.578962,144.946404,54.657582,114.482342,143.159682,138.381295
95,155.017064,143.708704,53.657359,114.684661,146.414463,139.434526
96,155.915701,144.341519,53.624868,120.888386,141.342187,150.382078
97,156.872182,141.635456,52.749865,119.956634,139.939728,148.104066
98,156.09112,146.939978,53.589562,125.493181,142.300944,145.825837
99,157.625364,144.433682,53.559965,123.491777,147.580437,136.616241
100,154.929339,142.058673,53.081115,123.369021,146.915756,133.466937
101,156.751117,140.289851,53.397268,123.390971,151.833858,132.683493
102,155.771306,140.135176,52.554575,122.726681,149.258234,137.792834
103,164.234574,134.038989,49.559906,126.884158,150.228327,149.678814
104,161.858509,134.947893,50.849153,125.995193,137.973133,145.693678
105,158.721723,152.474759,52.551803,127.062072,139.875832,148.46319
106,159.959982,140.776024,50.479801,115.012225,146.661443,137.682695
107,162.693526,143.989324,49.072204,121.086561,137.114562,135.006907
108,158.922093,145.718145,50.449909,120.868837,136.564584,138.608888
109,162.277401,136.511419,48.523395,125.762647,152.606516,139.111519
110,164.441348,131.607944,47.027708,119.869972,154.935211,135.210464
111,159.494739,132.384841,48.681447,121.558251,145.731626,133.142415
112,158.826266,129.805609,47.836755,120.743963,124.983905,130.833473
113,156.667413,127.43652,48.361796,119.497468,133.096644,126.588402
114,158.089289,121.435558,46.469381,127.269634,129.215891,130.395816
115,159.406672,123.077464,47.136741,126.192472,133.938367,125.843708
116,160.879124,123.426017,47.228013,126.536297,125.637181,127.888347
117,160.755372,124.382114,46.43053,125.329508,127.335956,114.170957
118,159.927974,124.923723,44.396752,125.169083,130.982269,116.782719
119,155.55407,122.620124,45.805247,124.834279,130.882683,115.273046
120,156.03761,129.890995,44.515441,126.798549,123.358012,115.028769
121,150.572638,130.531742,46.56213,130.55787,127.101853,109.941185
122,149.013354,128.980415,45.942906,131.506125,129.963502,111.427096
123,146.257608,128.25469,44.739717,129.136069,132.753788,111.827585
124,143.513932,129.900739,44.678672,127.863323,137.231752,115.196101
125,141.830002,120.840927,44.553376,131.099532,139.529428,116.737628
126,141.791239,127.237887,44.468631,130.66888,139.598027,112.495602
127,141.446869,113.675981,45.007228,129.743026,141.930814,113.016027
128,142.210276,114.678231,44.506124,127.147168,144.370068,115.478941
129,144.100581,115.423107,45.037591,127.029406,146.634758,115.503963
130,145.763417,122.981815,44.840342,126.265209,139.960628,106.231996
131,146.628846,123.216028,45.335238,128.243298,134.367947,100.606588
132,148.498569,128.302381,43.896382,128.762165,132.804033,100.54062
133,148.060253,135.65432,43.435192,131.085894,127.244801,97.673495
134,144.652326,133.388207,45.308077,130.190954,128.291922,98.34377
135,146.02415,131.637854,44.678646,130.368625,128.923794,100.271177
136,145.323007,130.329944,45.047794,130.773867,129.190683,100.689827
137,143.230958,125.54436,45.341441,131.658505,129.475851,101.013165
138,143.410766,127.804193,46.010604,131.172377,132.502293,107.690114
139,144.720101,134.610175,44.485304,132.033587,132.76434,108.369747
140,148.859689,133.09802,43.511684,132.004656,132.760176,108.046714
141,147.490603,147.102991,42.671147,135.118378,127.743987,113.266537
142,146.038049,140.283341,41.880184,134.471109,129.700276,110.787125
143,145.406193,136.484451,41.383597,133.801809,136.468965,112.554487
144,141.713945,128.288069,41.541098,133.771502,137.330871,113.710035
145,144.813821,121.214767,40.898536,132.9453,137.346831,113.696568
146,144.900217,120.299962,41.475026,132.334419,141.720456,117.436787
147,145.288166,118.812912,41.657667,132.621915,141.709843,116.523427
148,144.216281,124.926657,41.57528,130.841672,131.868381,112.131439
149,147.475699,123.211329,40.148718,129.246009,130.612814,107.356014
150,141.959777,127.181021,41.514769,131.593912,134.798574,109.142132
151,147.023592,129.227256,40.62764,128.310585,137.451774,112.213082
152,146.609705,131.947196,40.782417,128.793736,136.761832,112.670626
153,138.630137,133.808992,41.496655,129.579976,131.437369,106.222291
154,140.31578,122.587593,39.292075,129.713506,133.811934,113.47214
155,139.548556,124.052626,39.219528,130.354709,133.782607,112.178384
156,141.903099,125.008006,39.280053,130.105771,145.214385,117.112562
157,143.061119,125.038707,39.305827,130.245102,145.132531,116.227278
158,143.80658,126.612984,39.385396,130.605325,141.509793,112.321604
159,138.792043,124.664931,38.918025,130.77721,138.42585,111.296758
160,151.588141,135.494902,38.169681,122.866313,138.15582,107.689245
161,150.818874,138.443464,39.625947,128.387589,136.437409,107.646609
162,149.181285,131.135978,39.147679,127.813004,135.609891,107.196813
163,142.831336,130.200226,38.885636,131.075774,131.348914,105.902869
164,144.077991,129.556345,39.480623,129.148636,130.950783,104.96159
165,141.505086,133.831777,38.873778,130.882391,125.908132,104.280507
166,141.751197,134.168087,38.401461,131.17211,126.052644,105.951495
167,135.73958,134.893703,38.318091,132.412555,124.113983,103.991743
168,126.154546,133.713454,38.776395,131.549941,125.665728,103.530551
169,130.923286,128.016401,38.53804,131.340302,126.716365,103.6581
170,133.533701,128.816461,37.730401,133.756037,124.94218,101.817954
171,132.577952,140.096477,39.409006,133.517867,124.709394,98.626305
172,137.716545,139.458682,38.425896,133.018419,126.942882,101.202063
173,140.297333,137.883141,36.542507,131.857256,127.833934,103.315276
174,136.843162,138.382862,35.052245,134.481704,121.653509,103.909737
175,134.015109,132.644037,35.186905,134.996214,118.268283,104.42522
176,132.771299,130.41518,33.132888,131.007402,121.95096,102.893032
177,124.94741,128.075843,33.835442,133.702966,122.952855,102.86925
178,132.016745,129.708571,33.050461,133.896282,124.976595,103.935828
179,136.392014,123.735102,35.090692,133.209892,132.608286,108.317104
180,135.854778,127.848085,35.188589,131.78699,131.733972,106.98645
181,137.974178,128.564225,33.506009,133.894536,130.191708,105.963496
